Ingredient,Type,Purpose,Skin Type
Sodium Hydroxide,"pH Adjuster, Alkali",Adjusts the pH of the formulation,all skin types
Isopropyl Palmitate,"Emollient, Solvent","Softens skin, improves texture",all skin types
Lecithin,"Emulsifier, Skin Conditioning","Stabilizes emulsions, moisturizes skin",all skin types
Chlorphenesin,"Preservative, Antimicrobial","Prevents microbial growth, extends shelf life",all skin types
Caprylyl Glycol,"Skin Conditioning, Humectant","Softens skin, retains moisture",all skin types
Niacinamide (10%),"Vitamin, Skin Brightening Agent","Reduces pigmentation, improves skin texture",all skin types
Oryza Sativa (Rice) Extract,"Skin Conditioning, Antioxidant",Nourishes and brightens skin,all skin types
Isodecyl Neopentanoate,"Emollient, Skin Conditioning","Smooths skin, provides lightweight hydration","dry,combination"
Rice Ferment Filtrate (Sake),"Skin Brightening, Antioxidant","Promotes even skin tone, hydrates",all skin types
Rosa Damascena (Rose) Flower Water,"Soothing Agent, Antioxidant","Calms skin, reduces redness, provides a subtle scent","sensitive,dry"
Caffeine (1%),"Energizing, Anti-inflammatory","Reduces puffiness, improves circulation",all skin types
Acrylates Copolymer,"Film Former, Thickening Agent",Improves product texture and application,all skin types
VP/Polycarbamyl Polyglycol Ester,Film Former,Provides smooth texture and finish,all skin types
Hydrolyzed Sesame Protein Pg-Propyl Methylsilanediol,Skin Firming Agent,Improves skin elasticity and firmness,"mature,all skin types"
Ethylhexyl Olivate,Emollient,Softens and conditions the skin,"dry,sensitive skin"
Sodium Acrylates Copolymer,Thickening Agent,Stabilizes and thickens the formulation,all skin types
Polyglyceryl-4 Olivate,"Emulsifier, Skin Conditioner","Blends oil and water, provides hydration",all skin types
Cyclodextrin,Stabilizer,Encapsulates active ingredients for controlled release,all skin types
Sodium Gluconate,Chelating Agent,Stabilizes formula and prevents metal contamination,all skin types
Alpha-Arbutin,Brightening Agent,Reduces hyperpigmentation and evens skin tone,all skin types
Goji Berry Extract,Antioxidant,Protects skin from environmental damage,all skin types
Mulberry (Morus Alba) Extract,"Skin Brightening, Antioxidant",Brightens skin and reduces discoloration,all skin types
Bergamot (Citrus Aurantium Bergamia) Fruit Oil,"Astringent, Antiseptic","Refreshes skin, adds fragrance","oily,combination"
Witch Hazel Extract,Astringent,"Tightens pores, soothes skin","oily,sensitive skin"
Aloe Vera Leaf Extract,"Hydrating, Soothing Agent","Calms skin, reduces inflammation",all skin types
Glyceryl Undecylenate,Antimicrobial Agent,"Enhances product stability, protects against microbes",all skin types
Citrus Junos Fruit Extract,"Antioxidant, Brightening",Promotes collagen production and brightens skin,all skin types
PEG-40 Hydrogenated Castor Oil,"Emulsifier, Solubilizer",Helps mix oil and water components in the formula,all skin types
3-O-Ethyl Ascorbic Acid,Vitamin C derivative,"Brightening, antioxidant, improves skin elasticity",all skin types
Citrus Reticulata (Mandarin) Peel Extract,Natural extract,"Antioxidant, soothing",all skin types
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Natural extract,"High Vitamin C content, brightening",all skin types
Dilauryl Thiodipropionate,Antioxidant,Protects formulation from oxidation,all skin types
Sodium Benzotriazolyl Butylphenol Sulfonate,UV filter,Stabilizes formulations exposed to sunlight,all skin types
Buteth-3,Surfactant/Emulsifier,Improves spreadability,all skin types
Tributyl Citrate,Stabilizer,"Reduces stickiness, improves texture",all skin types
Sodium Lauroyl Methyl Isethionate,Surfactant,"Mild cleansing, creates foam",all skin types
Cocamidopropyl Betaine,Surfactant,"Gentle cleanser, stabilizes foam",all skin types
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleansing, conditioning",all skin types
Coco-Glucoside,Surfactant,"Mild cleanser, improves skin feel","sensitive,dry"
Methyl Gluceth-20,Humectant,Provides hydration and improves skin texture,all skin types
Chamomile,Botanical extract,"Soothing, anti-inflammatory","sensitive,all skin"
White Tea,Botanical extract,"Antioxidant, fights free radicals",all skin types
"Brightenyl (Glycerin, Aqua, Diglucosyl Gallic Acid)",Skin brightener,"Reduces pigmentation, evens skin tone",all skin types
Up Face Scrub,Physical exfoliant,"Removes dead skin cells, promotes smoother texture","normal,oily"
Chamomile,Botanical extract,"Soothing, anti-inflammatory, reduces redness","sensitive,all skin"
White Tea,Botanical extract,"Antioxidant, protects against environmental damage",all skin types
Sheer Matte Day Cream,Moisturizer,"Hydration with a matte finish, non-greasy","oily,combination"
Sunscreen,UV protection,Shields skin from UVA and UVB damage,all skin types
3% Vitamin C,Active ingredient,"Brightens skin, reduces dark circles, boosts collagen production",all skin types
3% Peptide,Active ingredient,"Stimulates collagen, improves skin elasticity, reduces wrinkles",all skin types
3% Caffeine,Active ingredient,"Reduces puffiness, dark circles, and promotes microcirculation",all skin types
Mandarin,Botanical extract,"Antioxidant, soothes skin, adds a subtle refreshing fragrance","sensitive,all skin"
Under Eye Cream,Product type,"Targets specific concerns like puffiness, dark circles, and fine lines",all skin types
1.5% Vitamin C,"Antioxidant, Brightener","Brightens skin, fights free radicals, reduces pigmentation",all skin types
Acetone,"Solvent, Astringent","Cleanses, removes oils or impurities (can be drying)","oily,acne-prone (limited use)"
Mandarin,Botanical extract,"Provides natural fragrance, antioxidant benefits",all skin types (may irritate sensitive skin)
Isodecyl Neopentanoate,Emollient,"Softens and smoothens skin, enhances texture",dry
Rice Ferment Filtrate (Sake),Extract/Active,"Moisturizes and soothes the skin, provides antioxidant effects",all skin types
Rosa Damascena (Rose) Flower Water,Extract,"Soothes and hydrates, has anti-inflammatory properties",sensitive/all skin types
Hydrolyzed Sesame Protein Pg-Propyl Methylsilanediol,Protein/Peptide,Strengthens and repairs the skin barrier,dry/all skin types
Hydroxyacetophenone,Antioxidant,Protects skin from free radical damage,all skin types
Oryza Sativa (Rice) Extract,Plant Extract,"Antioxidant, brightening, soothing",all
Isodecyl Neopentanoate,Emollient,"Skin conditioning, smoothening",dry
Sorbitol,Humectant,"Moisturizing, retains moisture",all
Hydrogenated Polyisobutene,Emollient,"Softening, smooth texture",all
Rice Ferment Filtrate (Sake),Ferment/Extract,"Brightening, antioxidant",all
Rosa Damascena (Rose) Flower Water,Floral Extract,"Soothing, hydrating","dry,sensitive"
Caffeine,Active Ingredient,"Anti-inflammatory, energizing, puffiness reduction","oily,sensitive"
Acrylates Copolymer,Binder/Film Forming Agent,"Forms a protective barrier, smoothens",all
Vp/Polycarbamyl Polyglycol Ester,Film Former,"Moisture retention, smooth finish",all
Hydrolyzed Sesame Protein Pg-Propyl Methylsilanediol,Protein Complex,"Strengthens, nourishes skin",all
Hydroxyacetophenone,Antioxidant,"Skin soothing, anti-aging",all
Ethylhexyl Olivate,Emollient,"Softens, moisturizes","dry,sensitive"
Polyglyceryl-4 Olivate,Emulsifier,"Skin conditioning, enhances texture",all
Cyclodextrin,Emulsifier,"Enhances texture, stabilizes products",all
Sodium Gluconate,Chelating Agent,"Stabilizes formulation, improves efficacy",all
S (2%),Active Ingredient,Active ingredient (unspecified),all
Alpha-Arbutin,Active Ingredient,"Skin brightening, reduces dark spots",all
Hyaluronic Acid,Humectant,"Moisturizing, retains water in skin",all
"1,3 Butylene Glycol",Humectant,"Moisturizes, attracts water to skin",all
Ammonium Acryloyldimethyltaurate/?VP Copolymer,Polymer,"Improves texture, thickening agent",all
Argania Spinosa (Argan) Kernel Oil,Oil,"Moisturizing, nourishes, anti-aging","dry,mature"
Benzophenone-3,Sunscreen Agent,UV protection,all
Betaine,Humectant,"Moisturizes, soothes skin",all
Calendula Officinalis Flower Extract,Plant Extract,"Calming, anti-inflammatory",sensitive
Camellia Sinensis (Green Tea) Leaf Extract,Plant Extract,"Antioxidant, soothes skin",all
Ethylhexyl Methoxycinnamate,Sunscreen Agent,UV protection,all
Ethylhexylglycerin,Emollient,"Moisturizing, antimicrobial agent",all
Glycyrrhiza Glabra (Licorice) Root Extract,Plant Extract,"Brightens skin, reduces pigmentation",all
Lycium Barbarum (Goji) Fruit Extract,Plant Extract,"Antioxidant, brightening",all
Phospholipids,Lipid,"Skin barrier repair, hydration",all
Sodium Gluconate,pH Adjuster,Stabilizes product pH,all
Rosa Damascena (Rose) Flower Water,Floral Extract,"Soothes, hydrates, anti-inflammatory",sensitive
PEG-40 Hydrogenated Castor Oil,Emollient,"Skin conditioning, smoothens skin",all
Hamamelis Virginiana (Witch Hazel) Leaf Extract,Plant Extract,"Toning, astringent, soothes skin","oily,acne"
Hydrolyzed Sodium Hyaluronate,Humectant,"Hydrates, plumps skin",all
Phenoxyethanol,Preservative,Prevents microbial growth,all
Ethylhexylglycerin,Emollient,"Moisturizes, antimicrobial agent",all
Aloe Barbadensis Leaf Juice,Plant Extract,"Moisturizes, soothes skin",sensitive
Isodecyl Neopentanoate,Emollient,"Skin conditioning, smoothens skin",all
3-O-Ethyl Ascorbic Acid,Vitamin C Derivative,"Brightens, anti-aging, antioxidant",all
Betaine,Humectant,"Hydrates, soothes skin",all
Citrus Reticulata (Mandarin) Peel Extract,Plant Extract,"Brightens, revitalizes skin",all
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Plant Extract,"Antioxidant, brightens skin",all
Prunus Amygdalus Dulcis (Sweet Almond) Oil,Oil,"Moisturizes, softens skin","dry,sensitive"
Squalane,Lipid,"Moisturizes, restores skin barrier",all
Sodium Citrate,pH Adjuster,Stabilizes product pH,all
Argania Spinosa (Argan) Kernel Oil,Oil,"Nourishes, moisturizes skin","dry,mature"
Ammonium Acryloyldimethyltaurate/VP Copolymer,Film Former,"Stabilizes formulation, improves texture",all
Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Film Former,"Enhances texture, stabilizes formulation",all
Cyclodextrin,Sugar Derivative,"Encapsulates active ingredients, stabilizes",all
Glyceryl Stearate,Emulsifier,"Stabilizes emulsions, softens skin",all
PEG-100 Stearate,Emulsifier,"Stabilizes emulsions, enhances texture",all
Sucrose,Humectant,"Draws moisture, softens skin",all
Benzyl Alcohol,Preservative,"Preserves product, antimicrobial",all
Hydroxyacetophenone,Antioxidant,"Protects from free radicals, soothing",all
Caprylyl Glycol,"Emollient, Preservative","Hydrates, antimicrobial",all
Sodium Gluconate,Chelating Agent,"Stabilizes product, improves efficacy of actives",all
Sodium Hyaluronate,Humectant,"Hydrates, plumps skin",all
Citric Acid,pH Adjuster,Regulates pH,all
Dilauryl Thiodipropionate,Antioxidant,"Prevents oxidation, preserves freshness",all
Sodium Benzotriazolyl Butylphenol Sulfonate,UV Filter,Protects against UV damage,all
Buteth-3,Surfactant,"Improves texture, helps with emulsions",all
Tributyl Citrate,Plasticizer,"Enhances texture, stabilizes formulation",all
Decyl Glucoside,Surfactant,"Cleansing, mild on skin",all
Cocamidopropyl Betaine,Surfactant,"Cleansing, foaming agent",all
Vegetable Glycerin,Humectant,"Moisturizes, softens skin",all
Kakadu Plum Fruit Extract,Plant Extract,"Antioxidant, brightens skin",all
Caprylyl/Capryl Glucoside,Surfactant,"Cleanses, mild on skin",all
Heptyl Glucoside,Surfactant,Mild cleanser,all
Polyquaternium-39,Film Former,"Enhances texture, smoothes skin",all
Hyaluronic Acid (Sodium Hyaluronate),Humectant,"Hydrates, plumps skin",all
Sodium Benzoate,Preservative,"Preserves product, antimicrobial",all
Potassium Sorbate,Preservative,"Antimicrobial, preserves product",all
Sodium Olivoyl/Cocoyl Aminoacids,Surfactant,"Cleansing, mild, conditions skin",all
Sodium Olivoyl/Cocoyl Fruttoside,Surfactant,"Cleansing, mild, conditions skin",all
Sodium PEG-7 Olive Oil Carboxylate,Surfactant,"Cleansing, emulsifying agent",all
Orange Peel Extract,Plant Extract,"Brightens, revitalizes skin",all
Lemon Extract,Plant Extract,"Brightens, soothes skin",all
Grapeseed Extract,Plant Extract,"Antioxidant, anti-aging",all
Licorice Root Extract,Plant Extract,"Brightening, anti-inflammatory",all
Kiwi Fruit Extract,Plant Extract,"Antioxidant, nourishes skin",all
Grapefruit Extract,Plant Extract,"Antioxidant, brightens skin",all
Pomegranate Flower Extract,Plant Extract,"Antioxidant, brightens skin",all
Olive Leaf Extract,Plant Extract,"Antioxidant, anti-aging",all
Sodium Hydroxide,pH Adjuster,"Regulates pH, stabilizes formulation",all
Turmeric Root Extract,Plant Extract,"Anti-inflammatory, brightening",all
Orange Peel Oil,Essential Oil,"Refreshing, uplifting",all
Vitamin E (Tocopherol Acetate),Vitamin,"Antioxidant, nourishes skin",all
CI 19140,Colorant,Adds color to product,all
Sodium Lauroyl Methyl Isethionate,Surfactant,"Cleansing agent, foaming",all skin types
Cocamidopropyl Betaine,Surfactant,"Gentle cleanser, foaming",all skin types
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleansing agent, mild surfactant",all skin types
Lauryl Glucoside,Surfactant,"Cleansing, foaming agent",sensitive skin
Coco-Glucoside,Surfactant,"Cleansing, mild agent",sensitive skin
Methyl Gluceth-20,Humectant,Moisturizing,dry
3-O-Ethyl Ascorbic Acid,Antioxidant,"Skin brightening, anti-aging",all skin types
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Antioxidant, soothing",all skin types
Terminalia Ferdinandiana (Kakadu Plum) Extract,Botanical Extract,"Brightening, antioxidant",all skin types
Ethylhexylglycerin,Skin conditioning,"Skin conditioning, antimicrobial",all skin types
Sodium Gluconate,Chelating Agent,"Preservative, stabilizer",all skin types
Fragrance,Fragrance,"Scent, sensory enhancement",all skin types
Citric Acid,pH Adjuster,"pH balancing, skin exfoliation",sensitive skin
Sodium Lauroyl Sarcosinate (Derived From Coconut),Surfactant,"Gentle cleansing, foaming agent",sensitive skin
Propanediol,Humectant,"Moisturizing, skin conditioning",dry
Polysorbate 20,Emulsifier,"Solubilizing agent, stabilizing emulsions",all skin types
Glycyrrhiza Glabra (Licorice) Extract,Botanical Extract,"Brightening, anti-inflammatory",all skin types
Allantoin,Skin Soothing Agent,"Soothing, healing, anti-irritant",sensitive skin
Sodium Chloride,Salt,"Thickening agent, stabilizer",all skin types
Cupressus Sempervirens (Cypress) Oil,Essential Oil,"Antioxidant, calming, antimicrobial","oily,acne-prone"
Curcuma Longa (Turmeric) Extract,Botanical Extract,"Anti-inflammatory, brightening",all skin types
Sodium Ascorbyl Phosphate (Vitamin C),Antioxidant,"Brightening, anti-aging",all skin types
Sodium Benzoate,Preservative,"Preservative, antimicrobial",all skin types
Caprylyl Glycol,Skin Conditioning,"Moisturizing, antimicrobial",all skin types
Caprylhydroxamic Acid,Preservative,"Preservative, antimicrobial",all skin types
Methylchloroisothiazolinone,Preservative,"Preservative, antimicrobial",all skin types
Methylisothiazolinone,Preservative,"Preservative, antimicrobial",all skin types
CI 14700,Colorant,Colorant,all skin types
CI 15985,Colorant,Colorant,all skin types
CI 19140,Colorant,Colorant,all skin types
Sodium Lauroyl Sarcosinate,Surfactant,"Gentle cleansing, foaming agent",sensitive skin
Coco Amide Propyl Betaine,Surfactant,"Cleansing, foaming agent",all skin types
Ocimum Sanctum (Holy Basil/Tulsi) Leaf Extract,Botanical Extract,"Anti-inflammatory, antioxidant, soothing",all skin types
Arbutin,Brightening Agent,"Skin brightening, pigmentation reduction",hyperpigmented skin
Potassium Sorbate,Preservative,"Preservative, antimicrobial",all skin types
Carica Papaya (Papaya) Fruit Extract,Botanical Extract,"Exfoliant, brightening",all skin types
Papain,Enzyme,"Exfoliation, removes dead skin cells",dull skin
Citric Acid,Alpha Hydroxy Acid,"Exfoliant, pH balancing",all skin types
Lactic Acid,Alpha Hydroxy Acid,"Exfoliation, moisturizing","dry,sensitive skin"
Malic Acid,Alpha Hydroxy Acid,"Exfoliation, pH balancing",all skin types
Gluconic Acid,Alpha Hydroxy Acid,"Exfoliant, moisturizing",sensitive skin
Ascorbic Acid,Vitamin,"Antioxidant, brightening",all skin types
Glycolic Acid,Alpha Hydroxy Acid,"Exfoliant, brightening, anti-aging",all skin types
Salicylic Acid,Beta Hydroxy Acid,"Exfoliant, acne treatment, anti-inflammatory","oily,acne-prone skin"
Tartaric Acid,Alpha Hydroxy Acid,"Exfoliation, pH balancing",all skin types
Sodium Lauroyl Sarcosinate,Surfactant,"Cleansing, foaming agent",all skin types
Cocamidopropyl Betaine,Surfactant,"Cleansing, foaming agent",all skin types
Decyl Glucoside,Surfactant,"Cleansing, foaming agent",sensitive skin
Propanediol,Solvent,"Moisturizing, enhancing ingredient penetration",all skin types
Sodium Benzoate,Preservative,"Antimicrobial, preservative",all skin types
Ethylhexylglycerin,Preservative,"Antimicrobial, skin conditioning",all skin types
CI 15985,Colorant,Coloring agent,all skin types
CI 14720,Colorant,Coloring agent,all skin types
Parfum,Fragrance,Fragrance,all skin types
Sodium Cocoyl Glycinate,Surfactant,"Cleansing, foaming agent",all skin types
Acrylates Copolymer,Film-forming agent,Provides texture and stabilizes formulation,all skin types
Sodium Cocoyl Apple Amino Acids,Surfactant,"Gentle cleansing, conditioning agent",sensitive skin
Olive Oil PEG-7 Esters,Emollient,"Moisturizing, skin conditioning",dry
Citrus Limon (Lemon) Peel Extract,Botanical extract,"Antioxidant, brightening, exfoliating",all skin types
Camellia Sinensis (White Tea) Leaf Extract,Botanical extract,"Antioxidant, soothing, anti-inflammatory",all skin types
Sodium Benzotriazolyl Butylphenol Sulfonate,UV filter,Protects skin from UV damage,all skin types
Buteth-3,Emulsifier,"Enhances stability of formulations, solubilizer",all skin types
Tributyl Citrate,Plasticizer,"Improves texture, enhances stability",all skin types
CI 47005,Colorant,Coloring agent,all skin types
Aloe Barbadensis Leaf Juice,Botanical extract,"Soothing, hydrating, anti-inflammatory","dry,sensitive skin"
Xanthan Gum,Stabilizer/Thickener,"Thickening, stabilizing, gel texture formation",all skin types
Rosa Damascena (Rose) Flower Extract,Botanical extract,"Antioxidant, soothing, anti-inflammatory",all skin types
Benzyl Alcohol,Preservative,"Antimicrobial, solvent",sensitive skin
Salicylic Acid,Beta Hydroxy Acid,"Exfoliating, acne treatment","oily,acne-prone skin"
Sorbic Acid,Preservative,"Antimicrobial, prevents microbial growth",all skin types
Chamomile,Botanical extract,"Soothing, anti-inflammatory, calming","sensitive,dry"
White Tea,Botanical extract,"Antioxidant, anti-aging, soothing",all skin types
Glycerin,Humectant,"Hydrating, moisture retention",all skin types
Aqua,Solvent,Solvent for ingredient dissolution,all skin types
Diglucosyl Gallic Acid,Active ingredient,"Skin brightening, antioxidant","dull skin,hyperpigmentation"
Up Face Scrub,Product name,"Exfoliating, removes dead skin cells",all skin types
Sheer Matte Day Cream,Product name,"Mattifying, moisturizing, sun protection","oily,combination"
Sunscreen,Product name,"UV protection, prevents sun damage",all skin types
3% Vitamin C,Active ingredient,"Brightening, anti-aging, collagen synthesis",all skin types
3% Peptide,Active ingredient,"Anti-aging, promotes skin renewal, firming",all skin types
3% Caffeine,Active ingredient,"Reduces puffiness, improves circulation","sensitive,puffy skin"
Under Eye Cream,Product name,"Targeted treatment for dark circles, puffiness",all skin types
Mandarin,Botanical extract,"Brightening, antioxidant, refreshes skin",all skin types
Aspalathus Linearis (Rooibos) Leaf Extract,Botanical extract,"Antioxidant, soothing, anti-inflammatory",all skin types
Camellia Sinensis (Green Tea) Leaf Extract,Botanical extract,"Antioxidant, anti-aging, soothes skin irritation",all skin types
Camellia Sinensis (White Tea) Leaf Extract,Botanical extract,"Antioxidant, anti-aging, promotes skin rejuvenation",all skin types
Cetearyl Alcohol,Fatty alcohol,"Emollient, emulsifier, moisturizes and softens skin","dry,sensitive"
Ethylhexylglycerin,Emollient,"Skin conditioning, preservative booster",all skin types
FDA Approved Colours,Colorant,"Cosmetic colorant, enhances product appearance",all skin types
Fragrance,Fragrance,Adds pleasant scent to products,all skin types
Ginkgo Biloba Leaf Extract,Botanical extract,"Antioxidant, improves circulation, soothes skin",all skin types
Glyceryl Stearate,Emulsifier,"Moisturizes, emulsifies products",all skin types
Glycolic Acid,Alpha Hydroxy Acid,"Exfoliates skin, brightens skin tone","oily,acne-prone"
Glycyrrhiza Glabra (Licorice) Root Extract,Botanical extract,"Brightens skin, anti-inflammatory, soothes irritation",all skin types
Hectorite,Clay,"Absorbent, thickening agent, mattifies skin","oily,combination"
Kaolin,Clay,"Absorbs excess oils, purifies skin","oily,acne-prone"
Matricaria Recutita (Chamomile) Flower Extract,Botanical extract,"Soothes skin, anti-inflammatory, calms irritation",sensitive skin
Olea Europaea (Olive) Leaf Extract,Botanical extract,"Antioxidant, soothes and nourishes skin",all skin types
Phenoxyethanol,Preservative,"Preserves product, antimicrobial",all skin types
Salix Nigra (Willow) Bark Extract,Botanical extract,"Natural exfoliant, anti-inflammatory","oily,acne-prone"
Titanium Dioxide,Mineral sunscreen,"UV protection, physical barrier, brightens skin",sensitive skin
Sodium Laureth Sulfate (SLES),Surfactant,"Cleanses, foams, removes oil and dirt from skin","oily,acne-prone"
Cocamide DEA,Surfactant,"Foam booster, emulsifier, enhances cleansing",all skin types
Carbomer,Thickener,"Thickens products, stabilizes formulas",all skin types
Cellulose Beads,Exfoliant,"Provides gentle exfoliation, removes dead skin cells","dry,sensitive"
Matricaria Recutita (Chamomile) Flower Extract,Botanical extract,"Soothes, anti-inflammatory, calms irritation",sensitive skin
Ginkgo Biloba Leaf Extract,Botanical extract,"Improves circulation, antioxidant, soothes skin",all skin types
Tetrasodium EDTA,Chelating agent,"Stabilizes formula, binds metal ions",all skin types
PEG-40 Hydrogenated Castor Oil,Solubilizer,Mixes water and oil-based ingredients,all skin types
Ginkgo Biloba Leaf Extract,Antioxidant,Protects from free radical damage,"sensitive,mature"
Aspalathus Linearis (Rooibos) Leaf Extract,Antioxidant,Soothes and calms irritation,"sensitive,irritated"
Sodium Gluconate,Chelating agent,Enhances formulation stability,all skin types
Sodium Laureth Sulfate (SLES),Surfactant,Cleansing; removes dirt and oil,"oily,normal"
Cocamidopropyl Betaine,Amphoteric surfactant,Gentle cleansing; improves foam quality,all skin types
Cocamide DEA,Surfactant,Foam booster; enhances texture,all skin types
Cellulose Beads,Exfoliant,Removes dead skin cells; gentle polishing,all skin types
Tetrasodium EDTA,Chelating agent,Stabilizes the formulation by binding metals,all skin types
Rosa Damascena (Rose) Flower Water,Floral Water,Hydration; soothing,"all skin types,dry,sensitive"
Hamamelis Virginiana (Witch Hazel) Leaf Extract,Botanical Extract,"Toning; astringent, reduces redness","oily,acne-prone"
Hydrolyzed Sodium Hyaluronate,Humectant,Deep hydration; moisture retention,"dry,mature,all skin types"
Calendula Officinalis Flower Extract,Botanical Extract,"Soothing, calming; reduces irritation","sensitive,irritated"
Ethylhexylglycerin,Preservative,Antimicrobial; enhances preservative efficacy,all skin types
Sodium Lauroyl Methyl Isethionate,Surfactant,"Gentle cleansing, foaming agent",all skin types
Sodium Methyl Oleoyl Taurate,Surfactant,"Cleansing; mild, derived from oleic acid",all skin types
Lauryl Glucoside,Surfactant,"Cleansing; gentle, derived from natural sugars","sensitive,dry,all skin types"
Coco-Glucoside,Surfactant,Cleansing; derived from coconut oil,all skin types
Methyl Gluceth-20,Humectant,Moisture retention; softens skin,all skin types
3-O-Ethyl Ascorbic Acid,Antioxidant,Brightening; reduces signs of aging,"all skin types,dull"
Citrus Reticulata (Mandarin) Peel Extract,Botanical Extract,"Brightening, antioxidant","dull,uneven skin tone"
Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract,Botanical Extract,"High in vitamin C, brightening","all skin types,dull"
Citric Acid,pH Adjuster,Balances the pH of formulations,all skin types
Chamomile (Matricaria Recutita Flower Extract),Botanical Extract,"Soothing, anti-inflammatory","sensitive,dry"
White Tea (Camellia Sinensis Extract),Botanical Extract,Antioxidant; protects from aging,all skin types
Sheer Matte Day Cream,Product Name,Moisturizing; mattifying finish,"oily,combination,normal"
Sunscreen,Active Ingredient,Protection from UV rays,all skin types
Sodium Laureth Sulfate (SLES),Surfactant,"Cleansing, foaming agent","oily,normal"
Cocamidopropyl Betaine,Surfactant,Gentle cleansing; improves foam,all skin types
Cocamide DEA,Surfactant,Foam booster; improves texture,all skin types
Carbomer,Thickener,Provides gel-like consistency,all skin types
Cellulose Beads,Exfoliant,"Removes dead skin cells, gentle exfoliation",all skin types
Matricaria Recutita (Chamomile) Flower Extract,Botanical Extract,"Soothing, anti-inflammatory","sensitive,dry"
Camellia Sinensis (White Tea) Extract,Botanical Extract,Antioxidant; protects from aging,all skin types
Ginkgo Biloba Leaf Extract,Botanical Extract,Antioxidant; protects from free radicals,"sensitive,mature"
Olea Europaea (Olive) Leaf Extract,Botanical Extract,"Moisturizing, antioxidant","dry,mature"
Aspalathus Linearis (Rooibos) Leaf Extract,Botanical Extract,Soothes and calms skin,"sensitive,irritated"
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,Antioxidant; protects skin from aging,all skin types
Tetrasodium EDTA,Chelating agent,"Stabilizes formulation, binds metals",all skin types
Vitamin C (3%),Active Ingredient,"Brightening, antioxidant",all skin types (use caution for highly sensitive skin)
Peptide (3%),Active Ingredient,"Boosts collagen, anti-aging","all skin types,sensitive"
Caffeine (3%),Active Ingredient,"Reduces puffiness, anti-inflammatory","all skin types,sensitive"
Under Eye Cream,Product Type,Targeted treatment for under-eye area,"all skin types,sensitive"
Mandarin (Citrus Reticulata),Botanical Extract,"Brightening, antioxidant",all skin types (use caution for sensitive skin)
Methylpropanediol,Humectant,"Moisturizes, enhances product penetration",all skin types
Xylitylglucoside,Humectant,"Skin conditioning, moisture retention",all skin types
Anhydroxylitol,Humectant,"Moisturizes, balances skin hydration",all skin types
Sodium Hydroxide,pH Adjuster,Balances pH of the product,all skin types
Phenoxyethanol,Preservative,"Antimicrobial, prevents bacterial growth",all skin types
Ethylhexylglycerin,Preservative,"Antimicrobial, enhances preservation",all skin types
Green Tea Extract,Botanical Extract,"Antioxidant, soothes and protects skin","all skin types,sensitive"
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Film Former,Provides smooth texture and stability,all skin types
Zinc Gluconate,Mineral,"Soothes, regulates oil production","oily,acne-prone"
Copper Gluconate,Mineral,"Promotes collagen production, skin healing",all skin types
Magnesium Aspartate,Mineral,"Soothes, promotes skin health",all skin types
C15-19 Alkane,Emollient,"Provides smooth feel, conditions skin",all skin types
Magnesium Ascorbyl Phosphate,Vitamin C Derivative,"Antioxidant, brightens skin",all skin types
Caffeine,Active Ingredient,"Reduces puffiness, stimulates circulation","all skin types,sensitive"
Caprylic/Capric Triglyceride,Emollient,"Moisturizes, softens skin",all skin types
Fragrance,Fragrance,Adds scent to product,all skin types (use caution for sensitive)
Disodium EDTA,Chelating Agent,"Stabilizes formulation, binds metal ions",all skin types
Hyaluronic Acid,Humectant,"Hydrates, plumps skin",all skin types
Cyclopentasiloxane,Silicone,"Creates smooth texture, provides slip","dry,sensitive skin"
Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,Film Former,"Stabilizes formulation, smooth texture",all skin types
Dimethicone,Silicone,"Smoothens, conditions, forms a barrier","dry,sensitive skin"
Trideceth-6,Surfactant,"Helps blend ingredients, emulsifies",all skin types
PEG/PPG-18/18 Dimethicone,Silicone,"Improves texture, enhances spreadability","dry,sensitive skin"
Dimethicone Crosspolymer,Silicone,"Enhances texture, provides silky finish","dry,sensitive skin"
Camellia Sinensis (Green Tea) Leaf Extract,Botanical Extract,"Antioxidant, soothes and protects skin","all skin types,sensitive"
Citric Acid,AHA (Alpha Hydroxy Acid),"Exfoliates, balances pH","dry,sensitive skin"
Sodium Benzoate,Preservative,"Antimicrobial, prevents bacterial growth",all skin types
Potassium Sorbate,Preservative,"Antimicrobial, prevents bacterial growth",all skin types
Sodium Hyaluronate,Humectant,"Hydrates, plumps skin",all skin types
Perfume,Fragrance,Adds scent to product,all skin types (use caution for sensitive)
Laminaria Digitata Extract,Botanical Extract,"Soothes, moisturizes, provides antioxidants","all skin types,sensitive"
Cetyl-PG Hydroxyethyl Palmitamide,Emollient,"Moisturizes, enhances skin barrier",all skin types
